word	frequency	definition
jänner	48000	January (DE: Januar)
erdäpfel	45000	potato (DE: Kartoffel)
paradeiser	42000	tomato (DE: Tomate)
karfiol	40000	cauliflower (DE: Blumenkohl)
topfen	38000	quark/curd cheese (DE: Quark)
semmel	36000	bread roll (DE: Brötchen)
palatschinke	34000	crepe/pancake (DE: Pfannkuchen)
schlagobers	32000	whipped cream (DE: Sahne/Schlagsahne)
obers	30000	cream (DE: Sahne)
marille	28000	apricot (DE: Aprikose)
ribisel	26000	currant (DE: Johannisbeere)
eierschwammerl	24000	chanterelle mushroom (DE: Pfifferling)
schwammerl	23000	mushroom (DE: Pilz)
fisolen	22000	green beans (DE: grüne Bohnen)
melanzani	21000	eggplant (DE: Aubergine)
kren	20000	horseradish (DE: Meerrettich)
powidl	19000	plum jam
hendl	18500	roast chicken (DE: Hähnchen)
beuschel	18000	offal ragout
faschiertes	17500	ground meat (DE: Hackfleisch)
schnitzel	17000	breaded cutlet
kaiserschmarrn	16500	shredded pancake dessert
nockerl	16000	small dumpling
knödel	15500	dumpling (DE: Kloß)
beisl	15000	pub/bar (DE: Kneipe)
jause	14500	snack/afternoon tea (DE: Vesper/Brotzeit)
heuriger	14000	wine tavern
kasten	13500	crate of beer (DE: Kiste)
gspritzt	13000	wine spritzer
sackerl	12500	plastic bag (DE: Tüte)
pickerl	12000	sticker/vignette (DE: Aufkleber)
mistkübel	11500	trash can (DE: Mülleimer)
sessel	11000	chair (DE: Stuhl)
kukuruz	10500	corn/maize (DE: Mais)
stiege	10000	staircase (DE: Treppe)
rauchfang	9500	chimney (DE: Schornstein)
hackler	9000	worker (colloquial)
matura	8500	school-leaving exam (DE: Abitur)
heuer	8000	this year (DE: dieses Jahr)
pfusch	7500	illicit work/botch job
gscheit	7000	clever/smart (DE: gescheit, but more common in AT)
leiwand	6500	great/awesome (Viennese slang)
gschert	6000	rude/boorish
oida	5500	dude (Viennese, interjection)
bim	5000	tram (DE: Straßenbahn)
gendarmerie	4500	rural police (historical, still used colloquially)
bezirk	4200	district (administrative)
gemeinde	4000	municipality
landeshauptmann	3800	state governor (DE: Ministerpräsident)
nationalrat	3500	national council (parliament)
magistrat	3200	city administration
wimmerl	3000	pimple (DE: Pickel)
