word	frequency	definition
velo	48000	bicycle (DE: Fahrrad)
billett	45000	ticket (DE: Fahrkarte)
natel	42000	mobile phone (DE: Handy)
parkieren	40000	to park (DE: parken)
grillieren	38000	to barbecue (DE: grillen)
retournieren	36000	to return goods (DE: zurückgeben)
trottoir	34000	sidewalk (DE: Bürgersteig/Gehweg)
perron	32000	platform, train (DE: Bahnsteig)
coiffeur	30000	hairdresser (DE: Friseur)
kondukteur	28000	ticket inspector (DE: Schaffner)
camion	26000	truck (DE: LKW/Lastwagen)
pneu	25000	tire (DE: Reifen)
vignette	24000	highway toll sticker
autobahnvignette	23000	highway toll sticker (specific)
garage	22000	car repair shop (DE: Werkstatt)
zmorge	21000	breakfast (DE: Frühstück)
znüni	20000	morning snack
zmittag	19000	lunch (DE: Mittagessen)
zvieri	18500	afternoon snack
znacht	18000	dinner (DE: Abendessen)
müesli	17500	muesli (Swiss origin)
rüebli	17000	carrot (DE: Karotte/Möhre)
nüsslisalat	16500	lamb's lettuce (DE: Feldsalat)
zopf	16000	braided bread
raclette	15500	melted cheese dish
rösti	15000	potato pancake
cervelat	14500	Swiss sausage
spital	14000	hospital (DE: Krankenhaus)
rekurs	13500	appeal, legal (DE: Berufung/Einspruch)
abstimmung	13000	referendum/vote
gemeinderat	12500	municipal council
kantonsrat	12000	cantonal parliament
bundesrat	11500	federal council (Swiss government)
initiative	11000	popular initiative (direct democracy)
kanton	10500	canton (Swiss state)
grüezi	10000	hello (formal greeting)
merci	9500	thank you (from French, common in CH-DE)
veloweg	9000	bicycle path
postauto	8500	postal bus
sbb	8000	Swiss Federal Railways
bünzli	7500	uptight/conventional person
röstigraben	7000	cultural divide between French and German Switzerland
putzen	6500	to clean (same word, but CH uses more)
glacé	6000	ice cream (DE: Eis)
konfi	5500	jam (DE: Marmelade/Konfitüre)
güsel	5000	rubbish (DE: Müll/Abfall)
abwart	4500	caretaker/janitor (DE: Hausmeister)
estrich	4000	attic (DE: Dachboden; in DE Estrich = screed floor)
lavabo	3800	bathroom sink (DE: Waschbecken)
sackgeld	3500	pocket money (DE: Taschengeld)
jöö	3200	aww (interjection, expressing cuteness)
schmützli	3000	companion of St. Nicholas (Swiss tradition)
