word	frequency	definition
colour	50000	color (US)
colours	30000	colors (US)
coloured	20000	colored (US)
colouring	15000	coloring (US)
colourful	15000	colorful (US)
favour	40000	favor (US)
favours	20000	favors (US)
favoured	15000	favored (US)
favourite	40000	favorite (US)
favourites	20000	favorites (US)
favouring	10000	favoring (US)
favourable	15000	favorable (US)
favourably	8000	favorably (US)
honour	30000	honor (US)
honours	20000	honors (US)
honoured	15000	honored (US)
honourable	15000	honorable (US)
honouring	8000	honoring (US)
labour	40000	labor (US)
labours	15000	labors (US)
laboured	10000	labored (US)
labouring	8000	laboring (US)
labourer	8000	laborer (US)
labourers	5000	laborers (US)
neighbour	30000	neighbor (US)
neighbours	20000	neighbors (US)
neighbourhood	20000	neighborhood (US)
neighbouring	15000	neighboring (US)
behaviour	40000	behavior (US)
behaviours	15000	behaviors (US)
behavioural	10000	behavioral (US)
humour	20000	humor (US)
humours	8000	humors (US)
humoured	5000	humored (US)
humourous	10000	humorous (US)
rumour	15000	rumor (US)
rumours	10000	rumors (US)
rumoured	8000	rumored (US)
vapour	8000	vapor (US)
vapours	5000	vapors (US)
savour	8000	savor (US)
savoury	10000	savory (US)
endeavour	10000	endeavor (US)
endeavours	5000	endeavors (US)
harbour	15000	harbor (US)
harbours	8000	harbors (US)
armour	10000	armor (US)
armoured	8000	armored (US)
glamour	10000	glamor (US)
glamourous	5000	glamorous (US)
vigour	8000	vigor (US)
vigourous	5000	vigorous (US)
rancour	5000	rancor (US)
odour	8000	odor (US)
odours	5000	odors (US)
centre	40000	center (US)
centres	20000	centers (US)
centred	10000	centered (US)
theatre	20000	theater (US)
theatres	10000	theaters (US)
metre	20000	meter (US)
metres	15000	meters (US)
kilometre	15000	kilometer (US)
kilometres	10000	kilometers (US)
centimetre	10000	centimeter (US)
centimetres	8000	centimeters (US)
millimetre	8000	millimeter (US)
millimetres	5000	millimeters (US)
litre	15000	liter (US)
litres	10000	liters (US)
fibre	10000	fiber (US)
fibres	8000	fibers (US)
sombre	8000	somber (US)
lustre	5000	luster (US)
manoeuvre	8000	maneuver (US)
manoeuvres	5000	maneuvers (US)
calibre	5000	caliber (US)
sabre	5000	saber (US)
spectre	5000	specter (US)
organise	30000	organize (US)
organised	25000	organized (US)
organising	15000	organizing (US)
organisation	30000	organization (US)
organisations	20000	organizations (US)
realise	25000	realize (US)
realised	20000	realized (US)
realising	10000	realizing (US)
recognise	20000	recognize (US)
recognised	15000	recognized (US)
recognising	8000	recognizing (US)
specialise	10000	specialize (US)
specialised	10000	specialized (US)
specialising	5000	specializing (US)
apologise	10000	apologize (US)
apologised	5000	apologized (US)
apologising	5000	apologizing (US)
emphasise	10000	emphasize (US)
emphasised	8000	emphasized (US)
emphasising	5000	emphasizing (US)
criticise	10000	criticize (US)
criticised	8000	criticized (US)
criticising	5000	criticizing (US)
authorise	8000	authorize (US)
authorised	8000	authorized (US)
authorising	3000	authorizing (US)
authorisation	8000	authorization (US)
minimise	8000	minimize (US)
minimised	5000	minimized (US)
minimising	3000	minimizing (US)
maximise	8000	maximize (US)
maximised	5000	maximized (US)
summarise	8000	summarize (US)
summarised	5000	summarized (US)
summarising	3000	summarizing (US)
normalise	5000	normalize (US)
normalised	5000	normalized (US)
normalising	3000	normalizing (US)
capitalise	5000	capitalize (US)
capitalised	3000	capitalized (US)
categorise	5000	categorize (US)
categorised	3000	categorized (US)
customise	5000	customize (US)
customised	5000	customized (US)
memorise	5000	memorize (US)
memorised	3000	memorized (US)
prioritise	5000	prioritize (US)
prioritised	3000	prioritized (US)
standardise	5000	standardize (US)
standardised	3000	standardized (US)
sympathise	3000	sympathize (US)
utilise	5000	utilize (US)
utilised	3000	utilized (US)
visualise	3000	visualize (US)
analyse	20000	analyze (US)
analysed	10000	analyzed (US)
analysing	8000	analyzing (US)
paralyse	5000	paralyze (US)
paralysed	5000	paralyzed (US)
defence	30000	defense (US)
defences	10000	defenses (US)
offence	15000	offense (US)
offences	8000	offenses (US)
licence	15000	license (US)
licences	8000	licenses (US)
pretence	5000	pretense (US)
practise	10000	practice (US, verb form)
practised	8000	practiced (US)
practising	5000	practicing (US)
catalogue	10000	catalog (US)
catalogues	5000	catalogs (US)
dialogue	10000	dialog (US)
dialogues	5000	dialogs (US)
prologue	5000	prolog (US)
epilogue	5000	epilog (US)
monologue	5000	monolog (US)
analogue	5000	analog (US)
travelled	15000	traveled (US)
travelling	15000	traveling (US)
traveller	10000	traveler (US)
travellers	8000	travelers (US)
cancelled	15000	canceled (US)
cancelling	8000	canceling (US)
cancellation	10000	cancelation (US)
counsellor	5000	counselor (US)
counsellors	3000	counselors (US)
counselling	5000	counseling (US)
fuelled	5000	fueled (US)
fuelling	3000	fueling (US)
labelled	8000	labeled (US)
labelling	5000	labeling (US)
levelled	5000	leveled (US)
levelling	3000	leveling (US)
marshalled	3000	marshaled (US)
modelled	5000	modeled (US)
modelling	5000	modeling (US)
panelled	3000	paneled (US)
panelling	3000	paneling (US)
quarrelled	3000	quarreled (US)
signalled	5000	signaled (US)
signalling	5000	signaling (US)
tunnelled	3000	tunneled (US)
tunnelling	3000	tunneling (US)
grey	20000	gray (US)
greys	5000	grays (US)
greyed	3000	grayed (US)
greyish	3000	grayish (US)
tyre	10000	tire (US, wheel)
tyres	8000	tires (US, wheels)
kerb	8000	curb (US, pavement edge)
kerbs	3000	curbs (US)
draught	8000	draft (US)
draughts	5000	drafts (US)
draughty	3000	drafty (US)
plough	8000	plow (US)
ploughs	3000	plows (US)
ploughed	3000	plowed (US)
programme	20000	program (US, non-computing)
programmes	10000	programs (US)
cheque	15000	check (US, banking)
cheques	8000	checks (US, banking)
mould	8000	mold (US)
moulds	3000	molds (US)
mouldy	3000	moldy (US)
moult	3000	molt (US)
smoulder	3000	smolder (US)
aluminium	10000	aluminum (US)
jewellery	10000	jewelry (US)
pyjamas	8000	pajamas (US)
sceptic	5000	skeptic (US)
sceptical	5000	skeptical (US)
scepticism	3000	skepticism (US)
storey	8000	story (US, building floor)
storeys	5000	stories (US, building floors)
aeroplane	5000	airplane (US)
aeroplanes	3000	airplanes (US)
gaol	3000	jail (US)
encyclopaedia	3000	encyclopedia (US)
foetus	3000	fetus (US)
mediaeval	3000	medieval (US)
paediatric	3000	pediatric (US)
oestrogen	3000	estrogen (US)
haemorrhage	3000	hemorrhage (US)
anaemia	3000	anemia (US)
anaesthetic	3000	anesthetic (US)
diarrhoea	3000	diarrhea (US)
manoeuvre	8000	maneuver (US)
manoeuvres	5000	maneuvers (US)
manoeuvrability	3000	maneuverability (US)
learnt	15000	learned (US, past tense)
burnt	10000	burned (US, past tense)
dreamt	8000	dreamed (US, past tense)
spilt	5000	spilled (US, past tense)
spoilt	5000	spoiled (US, past tense)
smelt	5000	smelled (US, past tense)
knelt	8000	kneeled (US, past tense)
leapt	8000	leaped (US, past tense)
whilst	15000	while (US)
amongst	10000	among (US)
towards	20000	toward (US)
forwards	10000	forward (US)
backwards	10000	backward (US)
afterwards	10000	afterward (US)
upwards	8000	upward (US)
maths	15000	math (US)
