word	frequency	definition
computadora	48000	computer (ES: ordenador)
celular	47000	mobile phone (ES: móvil)
carro	46000	car (ES: coche)
platicar	44000	to chat (ES: charlar)
manejar	42000	to drive (ES: conducir)
camión	40000	bus (ES: autobús)
chamarra	38000	jacket (ES: chaqueta)
banqueta	36000	sidewalk (ES: acera)
popote	34000	drinking straw (ES: pajita)
lentes	33000	glasses (ES: gafas)
chido	32000	cool/awesome (slang)
güey	31000	dude/buddy (slang)
neta	30000	truth/for real (slang)
padre	29000	cool/great (colloquial)
fresa	28000	snobby/preppy person
chamba	27000	job/work (ES: trabajo/curro)
lana	26000	money (slang, ES: pasta)
cuate	25000	buddy/friend (ES: colega/tío)
departamento	24000	apartment (ES: piso)
estacionamiento	23000	parking lot (ES: aparcamiento)
recámara	22000	bedroom (ES: dormitorio/habitación)
clóset	21000	closet/wardrobe (ES: armario)
regadera	20000	shower (ES: ducha)
alberca	19000	swimming pool (ES: piscina)
elote	18500	corn on the cob (ES: mazorca)
jitomate	18000	tomato (ES: tomate)
frijoles	17500	beans (ES: judías/alubias)
aguacate	17000	avocado
bolillo	16500	bread roll
torta	16000	sandwich in a roll (not cake)
taco	15500	taco
antojitos	15000	snacks/street food
mesero	14500	waiter (ES: camarero)
cajuela	14000	car trunk (ES: maletero)
llanta	13500	tire (ES: neumático/rueda)
gasolinera	13000	gas station (ES: gasolinera — same but more common in MX)
tianguis	12500	open-air market
colonia	12000	neighborhood (ES: barrio)
camioneta	11500	van/SUV
delegación	11000	district/borough (in Mexico City)
prepa	10500	high school (short for preparatoria)
chamaco	10000	kid/youngster
escuincle	9500	kid (informal)
chela	9000	beer (slang)
refri	8500	soda/soft drink (short for refresco)
botana	8000	snack/appetizer (ES: tapa/aperitivo)
ahorita	7500	right now (diminutive of ahora)
mero	7000	the very/exact one
órale	6500	come on/wow/ok (interjection)
chancla	6000	flip-flop/sandal (ES: chancla exists but less iconic)
huarache	5500	leather sandal
mandado	5000	grocery shopping/errand
tinaco	4500	rooftop water tank
padrísimo	4000	really cool (superlative of padre)
naco	3500	tacky/uncultured (pejorative)
chafa	3200	cheap/low quality
chilango	3000	person from Mexico City
