word	frequency	definition
#
# Québécismes — Mots spécifiques au français du Québec
#
# Sources:
#   - Usito, dictionnaire en ligne (Université de Sherbrooke)
#   - Office québécois de la langue française (OQLF)
#   - Base de données lexicographiques panfrancophone (BDLP)
#
# Échelle de fréquence:
#   50000 = très courant (usage quotidien généralisé)
#   10000 = courant (connu de tous les locuteurs)
#    5000 = régulier (usage fréquent dans certains contextes)
#    3000 = connu (compris par la plupart des locuteurs)
#
# Les mots déjà présents dans le dictionnaire FR de base voient leur
# fréquence boostée à cette valeur si elle est supérieure.

# --- Transport ---
char	40000	voiture (terme générique au Québec)
chars	20000	voitures
bazou	5000	vieille voiture en mauvais état
autobus	25000	bus (transport en commun)
stationnement	20000	parking, aire de stationnement
parcomètre	5000	parcmètre
robeur	3000	pneu (anglicisme de « rubber »)

# --- Commerce / vie quotidienne ---
magasiner	20000	faire du shopping, faire les boutiques
magasinage	15000	shopping, activité de magasiner
dépanneur	15000	épicerie de quartier ouverte tard
dépanneurs	8000	épiceries de quartier
breuvage	10000	boisson (terme courant au Québec)
breuvages	5000	boissons
liqueur	12000	boisson gazeuse (pas d'alcool)
cégep	15000	collège d'enseignement général et professionnel
cégeps	8000	collèges d'enseignement
cégépien	5000	étudiant de cégep
cégépienne	5000	étudiante de cégep
polyvalente	10000	école secondaire publique
tuque	10000	bonnet d'hiver tricoté
tuques	5000	bonnets d'hiver
mitaines	8000	moufles, gants sans doigts séparés
espadrilles	8000	chaussures de sport, baskets
bobettes	5000	sous-vêtements (caleçons, culottes)
laveuse	8000	machine à laver le linge
sécheuse	8000	sèche-linge
champlure	3000	robinet (archaïsme français conservé)
débarbouillette	5000	gant de toilette, petite serviette carrée

# --- Personnes / relations ---
blonde	25000	copine, petite amie
chum	20000	copain, petit ami
chums	10000	copains, amis proches

# --- Météo / nature ---
poudrerie	8000	neige soulevée et transportée par le vent
sloche	5000	gadoue, neige fondante mêlée d'eau
frette	10000	très froid (il fait frette)
bordée	8000	forte chute de neige
caribou	10000	renne d'Amérique du Nord
achigan	5000	perche noire (poisson d'eau douce)
ouananiche	5000	saumon d'eau douce du lac Saint-Jean
orignal	10000	élan d'Amérique
maringouins	8000	moustiques (terme courant au Québec)
maringouin	8000	moustique

# --- Alimentation ---
poutine	20000	frites garnies de fromage en grains et sauce brune
poutines	8000	portions de poutine
pogos	5000	saucisse enrobée de pâte de maïs frite
tourtière	10000	tourte à la viande traditionnelle
cipaille	5000	pâté de viandes en couches superposées
cipâte	3000	variante orthographique de cipaille
binnes	5000	fèves au lard à l'érable
bleuets	10000	myrtilles sauvages (Vaccinium)
bleuet	8000	myrtille
atoca	3000	canneberge (mot d'origine algonquienne)
guédille	5000	sandwich garni dans un pain hot-dog
croquignole	3000	beignet traditionnel frit
tire	8000	tire d'érable (sirop bouilli versé sur la neige)
pinottes	5000	cacahuètes, arachides
pinotte	5000	cacahuète

# --- Verbes / adjectifs courants ---
achaler	8000	embêter, importuner quelqu'un
achalant	5000	agaçant, importun
achalandé	8000	très fréquenté (magasin, lieu public)
achalandage	5000	affluence, nombre de visiteurs
pogner	8000	attraper, avoir du succès populaire
jaser	10000	bavarder, discuter de manière informelle
gosser	5000	bricoler maladroitement, agacer
niaiser	8000	perdre son temps, faire l'idiot
niaiseux	5000	idiot, niais
niaiseuse	5000	idiote, niaise
niaiserie	5000	bêtise, sottise
tannant	5000	agaçant, fatigant
tanné	8000	fatigué, excédé, en avoir assez
barrer	8000	verrouiller (une porte, une voiture)
débarrer	5000	déverrouiller
embarquer	10000	monter dans un véhicule
débarquer	8000	descendre d'un véhicule
placoter	5000	bavarder, discuter longuement
placotage	3000	bavardage, commérage
maganer	5000	abîmer, endommager, malmener
chialer	8000	râler, se plaindre, pleurnicher
chialage	3000	plainte, jérémiade
chialeux	3000	râleur, personne qui se plaint constamment
écœurant	8000	extraordinaire (positif) ou dégoûtant (négatif)
