word	frequency	definition
septante	50000	soixante-dix
huitante	50000	quatre-vingts (Vaud, Valais, Fribourg)
nonante	50000	quatre-vingt-dix
déjeuner	40000	premier repas de la journée (petit-déjeuner)
dîner	40000	repas de midi
souper	30000	repas du soir
dix-heures	5000	collation prise vers dix heures du matin
quatre-heures	5000	goûter de l'après-midi
natel	20000	téléphone portable (de National Telefon)
natels	8000	téléphones portables
bancomat	8000	distributeur automatique de billets
automate	10000	distributeur automatique de denrées
bircher	10000	müesli (du Dr Bircher-Benner)
rösti	12000	galette de pommes de terre râpées et rissolées
fondue	20000	fondue au fromage (plat national)
raclette	15000	fromage fondu raclé servi avec pommes de terre
cervelas	8000	saucisse nationale suisse
bricelet	3000	gaufrette fine et croustillante (spécialité vaudoise)
damassine	3000	petite prune ou eau-de-vie (Jura)
herbettes	5000	fines herbes aromatiques pour la cuisine
bénichon	5000	fête automnale traditionnelle fribourgeoise
bouteille	15000	biberon (en plus du sens standard)
panosse	8000	serpillère, toile pour laver le sol
panosser	3000	passer la serpillère
lavette	5000	carré de tissu pour nettoyer les surfaces
fourre	5000	housse, étui, enveloppe de protection
fourres	3000	housses, étuis
cornet	8000	sac en plastique (pour les courses)
cornets	5000	sacs en plastique
galetas	5000	grenier, combles, local sous le toit
cheni	5000	désordre, poussière, bazar
tablar	3000	étagère, tablette de rangement
fourneau	8000	cuisinière (appareil de cuisson)
potager	5000	cuisinière (synonyme de fourneau)
duvet	8000	couette, édredon
pendulaire	8000	personne faisant la navette quotidienne
pendulaires	5000	navetteurs
giratoire	8000	rond-point, carrefour à sens giratoire
berme	3000	terre-plein central d'une autoroute
votation	15000	scrutin populaire (référendum ou initiative)
votations	10000	scrutins populaires
initiative	20000	initiative populaire (droit de proposer une loi)
canton	25000	État fédéré membre de la Confédération suisse
cantons	15000	États fédérés suisses
cantonal	10000	relatif au canton
cantonaux	8000	relatifs aux cantons
cantonale	8000	relative au canton
cantonales	5000	relatives aux cantons (ou élections cantonales)
cantonaliser	3000	transférer une compétence au niveau cantonal
intercantonal	5000	concernant plusieurs cantons
communal	10000	relatif à la commune
communaux	5000	relatifs à la commune
communale	8000	relative à la commune
syndic	8000	maire (titre officiel dans le canton de Vaud)
municipal	10000	relatif à la municipalité (exécutif communal)
municipale	8000	relative à la municipalité
district	10000	subdivision administrative d'un canton
préfet	8000	chef administratif d'un district
assermentation	3000	cérémonie de prestation de serment
maturité	12000	diplôme de fin d'études secondaires (baccalauréat)
gymnase	10000	établissement d'enseignement secondaire supérieur (lycée)
gymnasien	5000	élève du gymnase (lycéen)
gymnasienne	5000	élève du gymnase (lycéenne)
gymnasial	3000	relatif au gymnase
apprenti	10000	personne en formation professionnelle duale
apprentie	8000	personne en formation professionnelle duale
apprentissage	15000	formation professionnelle (système dual école-entreprise)
logopédiste	3000	spécialiste des troubles du langage (orthophoniste)
doubler	5000	redoubler une année scolaire
armailli	3000	vacher travaillant en alpage (terme fribourgeois)
inalpe	3000	montée des troupeaux aux pâturages d'altitude
désalpe	5000	descente des troupeaux des alpages en automne
bisse	5000	canal d'irrigation à ciel ouvert (Valais)
gouille	3000	flaque d'eau, petit plan d'eau naturel
châble	3000	passage en pente pour dévaler le bois
foyard	3000	hêtre (arbre)
mayens	3000	pâturages et chalets de mi-saison
action	20000	promotion commerciale (en action = en promo)
direct	15000	directement, sans détour
cru	8000	humide et froid (temps cru)
boquer	3000	bouder, refuser obstinément
encoubler	3000	embarrasser, faire trébucher
peser	8000	appuyer sur un bouton (pesez sur le bouton)
imperdable	3000	épingle de sûreté
carrousel	5000	manège de chevaux de bois
fion	3000	raillerie, moquerie
gonfle	3000	congère de neige, embarras
