word	frequency	definition
gsm	48000	mobile phone (NL: mobieltje)
kot	45000	student room (NL: studentenkamer)
schepen	42000	alderman (NL: wethouder)
solden	40000	sales (NL: uitverkoop/sale)
gemeentehuis	38000	town hall (NL: stadhuis, different connotation)
burgemeester	37000	mayor (same word, different political role in BE)
poetsvrouw	36000	cleaning lady (NL: schoonmaakster)
curling	34000	curling iron (different meaning than sport in BE context)
proper	32000	clean/tidy (NL: schoon/netjes)
goesting	30000	craving/desire (NL: zin)
ambiance	28000	atmosphere/vibe (NL: sfeer)
boterham	27000	sandwich (NL: boterham exists but BE uses more)
pistolet	26000	bread roll (NL: pistolet less common, broodje)
praline	25000	chocolate bonbon (NL: bonbon/chocolaatje)
friet	24000	fries (NL: patat)
fritkot	23000	fries stand (NL: snackbar/frituur)
stoofvlees	22000	beef stew (NL: hachee)
advocaat	21000	lawyer (same word, but also eggnog)
wafels	20000	waffles (iconic Belgian food)
koffiekoek	19000	pastry (NL: gebakje)
nonkel	18500	uncle (NL: oom)
tante	18000	aunt (same but more formal use in BE)
schoon	17500	beautiful (NL: mooi; in NL schoon = clean)
plezant	17000	pleasant/fun (NL: leuk/gezellig)
content	16500	happy/satisfied (NL: tevreden/blij)
ambetant	16000	annoying (NL: vervelend)
zwans	15500	nonsense (NL: onzin)
chance	15000	luck (NL: geluk/mazzel)
boeken	14500	to book/reserve (same, but more common in BE)
jobstudent	14000	student worker (NL: bijbaantje)
dienst	13500	shift/service (broader use in BE)
bediende	13000	employee/clerk (NL: medewerker)
dubbel	12500	pint of beer (BE specific)
trappist	12000	Trappist beer
pintje	11500	small beer
zenne	11000	river Senne (Brussels)
rijksregister	10500	national register
mutualiteit	10000	health insurance fund (NL: zorgverzekeraar)
gemeente	9500	municipality (same word, different admin meaning)
provincie	9000	province (same, but more political weight in BE)
gewest	8500	region (federal entity in Belgium)
plooien	8000	to fold/iron (NL: vouwen/strijken)
handdoek	7500	towel (same, but used for dish towel too in BE)
klapdeur	7000	swinging door
garage	6500	mechanic/car repair
appartement	6000	apartment (NL: uses flat more)
oprit	5500	driveway (NL: oprit exists but inrit more common)
koer	5000	backyard/courtyard (NL: binnenplaats)
kasseiweg	4500	cobblestone road
taxke	4000	taxi (diminutive, informal)
allez	3500	come on (French influence, interjection)
voila	3200	there you go (French influence)
amai	3000	wow/gosh (Flemish interjection)
