word	frequency	definition
ônibus	48000	bus (PT: autocarro)
celular	47000	mobile phone (PT: telemóvel)
trem	45000	train (PT: comboio)
banheiro	44000	bathroom (PT: casa de banho)
geladeira	40000	fridge (PT: frigorífico)
sorvete	38000	ice cream (PT: gelado)
xícara	35000	cup (PT: chávena)
cafezinho	34000	small coffee
fila	33000	queue (PT: bicha)
ótimo	32000	great/awesome
legal	31000	cool/nice (colloquial)
cara	30000	guy/dude (PT: tipo/gajo)
grana	28000	money (slang)
pegar	27000	to catch/take (PT: apanhar)
guarda-roupa	26000	wardrobe (PT: roupeiro)
suco	24000	juice (PT: sumo)
metrô	23000	subway (PT: metro)
açougue	21000	butcher shop (PT: talho)
camelô	19000	street vendor
pedreiro	18500	bricklayer/builder
delegacia	18000	police station (PT: esquadra)
goleiro	17500	goalkeeper (PT: guarda-redes)
camiseta	16500	t-shirt (PT: t-shirt/camisola)
calcinha	16000	panties (PT: cuecas)
cueca	15500	men's underwear (PT: cuecas)
meia	15000	sock (PT: peúga)
privada	14500	toilet (PT: sanita)
gramado	14000	lawn (PT: relvado)
torcida	13500	fans/supporters (PT: claque)
caipirinha	13000	cachaça cocktail
mamão	12500	papaya
mandioca	12000	cassava/manioc
brigadeiro	11500	chocolate truffle sweet
churrasqueira	11000	barbecue grill
padaria	10500	bakery (PT: pastelaria)
farol	10000	traffic light (PT: semáforo)
moleque	9500	kid/boy (informal)
puxar	9000	to pull (also: to draw, BR usage)
acessar	8500	to access (PT: aceder)
deletar	8000	to delete (PT: apagar/eliminar)
cadastrar	7500	to register/sign up (PT: registar)
boleto	7000	payment slip
aplicativo	6500	app (PT: aplicação)
cardápio	6000	menu (PT: ementa)
estacionamento	5500	parking lot (PT: parque de estacionamento)
prefeitura	5000	city hall (PT: câmara municipal)
aposentadoria	4800	retirement (PT: reforma)
rodovia	4500	highway (PT: autoestrada)
xerox	4200	photocopy (PT: fotocópia)
crachá	4000	badge/ID card
lanchar	3800	to have a snack (PT: lanchar exists but less common)
marrom	3500	brown (PT: castanho)
time	3200	team, sports (PT: equipa)
gol	3000	goal, sports (PT: golo)
