word	frequency	definition
autocarro	48000	bus (BR: ônibus)
telemóvel	47000	mobile phone (BR: celular)
comboio	45000	train (BR: trem)
frigorífico	40000	fridge (BR: geladeira)
gelado	38000	ice cream (BR: sorvete)
chávena	35000	cup (BR: xícara)
bicha	33000	queue (BR: fila)
pequeno-almoço	32000	breakfast (BR: café da manhã)
sumo	30000	juice (BR: suco)
talho	28000	butcher shop (BR: açougue)
passadeira	27000	crosswalk (BR: faixa de pedestres)
esquadra	26000	police station (BR: delegacia)
guarda-redes	25000	goalkeeper (BR: goleiro)
paragem	24000	bus stop (BR: ponto de ônibus)
sanita	23000	toilet (BR: privada)
relvado	22000	lawn (BR: gramado)
roupeiro	21000	wardrobe (BR: guarda-roupa)
peúga	20000	sock (BR: meia)
ementa	18500	menu (BR: cardápio)
gajo	18000	guy/dude (BR: cara)
miúdo	17500	kid (BR: moleque/garoto)
fixe	17000	cool/nice (BR: legal)
ecrã	16000	screen (BR: tela)
tesoura	15500	scissors (same word, different pronunciation context)
apanhar	15000	to catch (BR: pegar)
camião	14500	truck (BR: caminhão)
peão	14000	pedestrian (BR: pedestre)
sinaleiro	13500	traffic light (BR: farol/semáforo)
montra	13000	shop window (BR: vitrine)
canalizador	12500	plumber (BR: encanador)
reformado	12000	retired person (BR: aposentado)
hospedeiro	11500	host (BR: anfitrião)
descapotável	11000	convertible car (BR: conversível)
berma	10500	road shoulder (BR: acostamento)
multibanco	10000	ATM (BR: caixa eletrônico)
betão	9000	concrete (BR: concreto)
rebuçado	8500	candy/sweet (BR: bala)
fato	8000	suit, clothing (BR: terno)
sandes	7500	sandwich (BR: sanduíche)
cuecas	7000	underwear, generic (BR: cueca/calcinha)
autoestrada	5500	highway (BR: rodovia)
rotunda	5000	roundabout (BR: rotatória)
cunha	4500	acquaintance who helps (informal, favoritism)
tasca	4000	tavern/cheap restaurant
puto	3500	kid (informal, PT only — offensive in BR)
bué	3200	a lot/very (slang)
giro	3000	cute/attractive (slang)
